Tanggal,Penetapan_Harga
2024-05-02,12050.0
2024-05-03,11978.0
2024-05-06,12018.0
2024-05-07,12182.0
2024-05-08,12155.0
2024-05-13,12116.0
2024-05-14,12108.0
2024-05-15,12156.0
2024-05-16,12021.0
2024-05-17,12190.0
2024-05-20,12188.0
2024-05-21,12208.0
2024-05-22,12172.0
2024-05-27,12188.0
2024-05-28,12389.0
2024-05-29,12535.0
2024-05-30,12588.0
2024-05-31,12722.0
2024-06-03,12735.0
2024-06-04,12408.0
2024-06-05,12438.0
2024-06-06,12507.0
2024-06-07,12648.0
2024-06-10,12558.0
2024-06-11,12539.0
2024-06-12,12715.0
2024-06-13,12700.0
2024-06-14,12787.0
2024-06-19,12795.0
2024-06-20,12790.0
2024-06-24,12757.0
2024-06-25,12684.0
2024-06-26,12750.0
2024-06-27,12758.0
2024-06-28,12856.0
2024-07-01,13000.0
2024-07-02,13185.0
2024-07-03,13170.0
2024-07-04,13225.0
2024-07-05,13200.0
2024-07-08,13175.0
2024-07-09,12887.99
2024-07-09,12888.0
2024-07-10,12638.0
2024-07-11,12718.0
2024-07-12,12729.0
2024-07-15,12640.0
2024-07-16,12723.0
2024-07-17,12738.0
2024-07-18,12740.0
2024-07-19,12725.0
2024-07-22,12810.0
2024-07-23,12804.0
2024-07-24,12757.0
2024-07-25,12775.0
2024-07-26,12965.0
2024-07-29,13000.0
2024-07-30,13050.0
2024-07-31,13036.0
2024-08-01,13040.0
2024-08-02,13105.0
2024-08-05,13209.0
2024-08-06,13119.0
2024-08-07,13054.0
2024-08-08,12939.0
2024-08-09,12918.0
2024-08-12,12830.0
2024-08-13,12782.0
2024-08-14,12677.0
2024-08-15,12520.0
2024-08-16,12588.0
2024-08-19,12625.0
2024-08-20,12675.0
2024-08-21,12745.0
2024-08-22,12868.0
2024-08-23,12959.0
2024-08-26,13089.0
2024-08-27,13233.0
2024-08-28,13235.0
2024-08-29,13155.0
2024-08-30,13328.0
2024-09-02,13242.0
2024-09-03,13342.0
2024-09-04,13212.0
